'Elapsed time','EMG'
'seconds','mV'
0.234,0.058
0.235,0.058
0.235,0.068
0.235,0.068
0.235,0.073
0.236,0.073
0.236,0.078
0.236,0.080
0.236,0.087
0.237,0.087
0.237,0.092
0.237,0.092
0.237,0.093
0.238,0.092
0.238,0.093
0.238,0.092
0.238,0.097
0.239,0.097
0.239,0.105
0.239,0.105
0.239,0.115
0.240,0.113
0.240,0.128
0.240,0.128
0.240,0.142
0.241,0.142
0.241,0.152
0.241,0.152
0.241,0.158
0.242,0.158
0.242,0.163
0.242,0.165
0.242,0.160
0.243,0.158
0.243,0.165
0.243,0.165
0.243,0.170
0.244,0.170
0.244,0.175
0.244,0.177
0.244,0.185
0.245,0.185
0.245,0.190
0.245,0.188
0.245,0.197
0.246,0.197
0.246,0.215
0.246,0.217
0.246,0.237
0.247,0.238
0.247,0.272
0.247,0.273
0.247,0.340
0.248,0.340
0.248,0.385
0.248,0.367
0.248,0.087
0.249,0.077
0.249,0.117
0.249,0.090
0.249,0.170
0.250,0.100
0.250,0.175
0.250,0.255
0.251,0.257
0.251,0.267
0.251,0.263
0.251,0.225
0.252,0.222
0.252,0.178
0.252,0.178
0.252,0.152
0.253,0.152
0.253,0.142
0.253,0.140
0.253,0.133
0.254,0.135
0.254,0.130
0.254,0.130
0.254,0.127
0.255,0.127
0.255,0.122
0.255,0.123
0.255,0.120
0.256,0.120
0.256,0.122
0.256,0.123
0.256,0.120
0.257,0.122
0.257,0.117
0.257,0.118
0.257,0.120
0.258,0.118
0.258,0.120
0.258,0.120
0.258,0.117
0.259,0.117
0.259,0.112
0.259,0.112
0.259,0.108
0.260,0.108
0.260,0.103
0.260,0.105
0.260,0.102
0.261,0.105
0.261,0.113
0.261,0.113
0.261,0.123
0.262,0.123
0.262,0.132
0.262,0.132
0.262,0.133
0.263,0.133
0.263,0.137
0.263,0.135
0.263,0.133
0.264,0.135
0.264,0.132
0.264,0.133
0.264,0.123
0.265,0.123
0.265,0.115
0.265,0.115
0.265,0.097
0.266,0.097
0.266,0.087
0.266,0.085
0.266,0.077
0.267,0.077
0.267,0.072
0.267,0.073
0.267,0.075
0.268,0.075
0.268,0.080
0.268,0.080
0.268,0.083
0.269,0.083
0.269,0.082
0.269,0.082
0.269,0.078
0.270,0.080
0.270,0.075
0.270,0.075
0.270,0.072
0.271,0.072
0.271,0.067
0.271,0.067
0.271,0.070
0.272,0.065
0.272,0.063
0.272,0.063
0.272,0.062
0.273,0.062
0.273,0.065
0.273,0.065
0.273,0.060
0.274,0.060
0.274,0.052
0.274,0.053
0.274,0.048
0.275,0.048
0.275,0.047
0.275,0.050
0.275,0.047
0.276,0.048
0.276,0.045
0.276,0.048
0.276,0.043
0.277,0.045
0.277,0.040
0.277,0.042
0.277,0.038
0.278,0.038
0.278,0.042
0.278,0.040
0.278,0.045
0.279,0.047
0.279,0.053
0.279,0.053
0.279,0.077
0.280,0.078
0.280,0.143
0.280,0.145
0.280,-0.028
0.281,-0.025
0.281,0.012
0.281,0.013
0.281,0.033
0.281,0.035
0.282,0.038
0.282,0.038
0.282,0.028
0.282,0.027
0.283,0.023
0.283,0.022
0.283,0.027
0.283,0.027
0.284,0.032
0.284,0.032
0.284,0.033
0.284,0.033
0.285,0.028
0.285,0.030
0.285,0.027
0.285,0.027
0.286,0.018
0.286,0.018
0.286,0.008
0.286,0.008
0.287,-0.002
0.287,-0.002
0.287,-0.042
0.287,-0.045
0.288,-0.123
0.288,-0.127
0.288,-0.142
0.288,-0.135
0.289,-0.028
0.289,-0.025
0.289,0.057
0.289,0.058
0.290,0.078
0.290,0.075
0.290,0.045
0.290,0.045
0.291,0.022
0.291,0.020
0.291,0.010
0.291,0.010
0.292,0.005
0.292,0.005
0.292,0.007
0.292,0.008
0.293,0.013
0.293,0.015
0.293,0.018
0.293,0.017
0.294,0.020
0.294,0.020
0.294,0.025
0.294,0.025
0.295,0.018
0.295,0.017
0.295,0.007
0.295,0.005
0.296,-0.003
0.296,-0.003
0.296,0.002
0.296,0.002
0.297,0.013
0.297,0.013
0.297,0.020
0.297,0.020
0.298,0.037
0.298,0.037
0.298,0.065
0.298,0.067
0.299,0.090
0.299,0.080
0.299,0.017
0.299,0.030
0.300,0.218
0.300,0.013
0.300,0.227
0.300,0.202
0.301,-0.175
0.301,-0.182
0.301,-0.258
0.301,-0.223
0.302,-0.100
0.302,-0.095
0.302,-0.043
0.302,-0.042
0.303,-0.050
0.303,-0.053
0.303,-0.042
0.303,-0.042
0.304,-0.028
0.304,-0.028
0.304,-0.035
0.304,-0.032
0.305,-0.038
0.305,-0.038
0.305,-0.033
0.305,-0.033
0.306,-0.025
0.306,-0.023
0.306,-0.022
0.306,-0.022
0.307,-0.033
0.307,-0.033
0.307,-0.028
0.307,-0.027
0.308,-0.022
0.308,-0.025
0.308,-0.018
0.308,-0.022
0.309,-0.027
0.309,-0.022
0.309,-0.032
0.309,-0.033
0.310,-0.102
0.310,-0.120
0.310,-0.080
0.310,-0.077
0.311,0.020
0.311,0.022
0.311,0.048
0.311,0.047
0.312,0.013
0.312,0.012
0.312,-0.015
0.312,-0.015
0.313,-0.032
0.313,-0.032
0.313,-0.040
0.314,-0.040
0.314,-0.047
0.314,-0.045
0.314,-0.047
0.315,-0.045
0.315,-0.037
0.315,-0.037
0.315,-0.027
0.316,-0.027
0.316,-0.015
0.316,-0.015
0.316,-0.007
0.317,-0.007
0.317,-0.002
0.317,-0.003
0.317,0.002
0.318,-0.003
0.318,-0.010
0.318,-0.012
0.318,-0.018
0.319,-0.018
0.319,-0.023
0.319,-0.023
0.319,-0.025
0.320,-0.025
0.320,-0.032
0.320,-0.032
0.320,-0.040
0.321,-0.040
0.321,-0.043
0.321,-0.042
0.321,-0.037
0.322,-0.038
0.322,-0.028
0.322,-0.027
0.322,-0.018
0.323,-0.018
0.323,-0.012
0.323,-0.010
0.323,-0.015
0.324,-0.017
0.324,-0.035
0.324,-0.037
0.324,-0.057
0.325,-0.057
0.325,-0.067
0.325,-0.068
0.325,-0.060
0.326,-0.058
0.326,-0.047
0.326,-0.048
0.326,-0.042
0.327,-0.043
0.327,-0.042
0.327,-0.043
0.327,-0.033
0.328,-0.033
0.328,-0.022
0.328,-0.022
0.328,-0.010
0.329,-0.008
0.329,-0.013
0.329,-0.013
0.329,-0.017
0.330,-0.017
0.330,-0.030
0.330,-0.032
0.330,-0.035
0.331,-0.033
0.331,-0.030
0.331,-0.028
0.331,-0.025
0.332,-0.025
0.332,-0.030
0.332,-0.027
0.332,-0.038
0.333,-0.037
0.333,-0.047
0.333,-0.047
0.333,-0.052
0.334,-0.050
0.334,-0.053
0.334,-0.052
0.334,-0.043
0.335,-0.043
0.335,-0.035
0.335,-0.035
0.335,-0.028
0.336,-0.028
0.336,-0.025
0.336,-0.027
0.336,-0.030
0.337,-0.030
0.337,-0.027
0.337,-0.028
0.337,-0.028
0.338,-0.028
0.338,-0.033
0.338,-0.030
0.338,-0.033
0.339,-0.033
0.339,-0.038
0.339,-0.038
0.339,-0.043
0.340,-0.042
0.340,-0.045
0.340,-0.043
0.340,-0.040
0.341,-0.040
0.341,-0.037
0.341,-0.035
0.341,-0.038
0.342,-0.038
0.342,-0.043
0.342,-0.043
0.342,-0.050
0.343,-0.048
0.343,-0.058
0.343,-0.058
0.343,-0.065
0.344,-0.065
0.344,-0.068
0.344,-0.068
0.344,-0.063
0.344,-0.063
0.345,-0.057
0.345,-0.057
0.345,-0.055
0.345,-0.055
0.346,-0.057
0.346,-0.057
0.346,-0.055
0.346,-0.055
0.347,-0.058
0.347,-0.058
0.347,-0.058
0.347,-0.057
0.348,-0.060
0.348,-0.058
0.348,-0.060
0.348,-0.058
0.349,-0.062
0.349,-0.058
0.349,-0.060
0.349,-0.058
0.350,-0.057
0.350,-0.058
0.350,-0.062
0.350,-0.060
0.351,-0.052
0.351,-0.050
0.351,-0.038
0.351,-0.038
0.352,-0.027
0.352,-0.027
0.352,-0.020
0.352,-0.018
0.353,-0.008
0.353,-0.008
0.353,0.003
0.353,0.003
0.354,0.015
0.354,0.015
0.354,0.032
0.354,0.033
0.355,0.068
0.355,0.072
0.355,0.122
0.355,0.152
0.356,0.042
0.356,0.027
0.356,-0.128
0.356,-0.070
0.357,-0.107
0.357,-0.085
0.357,0.002
0.357,0.005
0.358,0.057
0.358,0.057
0.358,0.030
0.358,0.028
0.359,-0.020
0.359,-0.022
0.359,-0.090
0.359,-0.095
0.360,-0.197
0.360,-0.200
0.360,-0.237
0.360,-0.233
0.361,-0.133
0.361,-0.128
0.361,-0.040
0.361,-0.037
0.362,0.020
0.362,0.022
0.362,0.047
0.362,0.050
0.363,-0.152
0.363,-0.155
0.363,-0.130
0.363,-0.128
0.364,-0.093
0.364,-0.092
0.364,-0.070
0.364,-0.068
0.365,-0.058
0.365,-0.057
0.365,-0.048
0.365,-0.048
0.366,-0.035
0.366,-0.033
0.366,-0.018
0.366,-0.018
0.367,-0.007
0.367,-0.007
0.367,-0.002
0.367,-0.007
0.368,-0.013
0.368,-0.013
0.368,-0.020
0.368,-0.020
0.369,-0.030
0.369,-0.030
0.369,-0.037
0.369,-0.037
0.370,-0.040
0.370,-0.043
0.370,-0.037
0.370,-0.037
0.371,-0.030
0.371,-0.032
0.371,-0.027
0.371,-0.028
0.372,-0.025
0.372,-0.027
0.372,-0.023
0.372,-0.025
0.373,-0.023
0.373,-0.023
0.373,-0.020
0.373,-0.018
0.374,-0.012
0.374,-0.010
0.374,-0.017
0.374,-0.018
0.375,-0.060
0.375,-0.062
0.375,-0.102
0.376,-0.103
0.376,-0.050
0.376,-0.047
0.376,0.013
0.377,0.020
0.377,0.013
0.377,0.008
0.377,0.015
0.378,0.017
0.378,0.028
0.378,0.030
0.378,0.050
0.379,0.050
0.379,0.070
