'Elapsed time','ECG ECG'
'seconds','mV'
1.338,-0.056
1.340,-0.057
1.342,-0.057
1.344,-0.056
1.346,-0.055
1.348,-0.054
1.350,-0.053
1.352,-0.053
1.354,-0.052
1.356,-0.052
1.358,-0.052
1.360,-0.053
1.362,-0.053
1.364,-0.054
1.366,-0.055
1.368,-0.056
1.370,-0.057
1.372,-0.057
1.374,-0.058
1.376,-0.058
1.378,-0.057
1.380,-0.055
1.382,-0.053
1.384,-0.051
1.386,-0.048
1.388,-0.047
1.390,-0.047
1.392,-0.048
1.394,-0.051
1.396,-0.054
1.398,-0.058
1.400,-0.060
1.402,-0.061
1.404,-0.062
1.406,-0.061
1.408,-0.061
1.410,-0.060
1.412,-0.060
1.414,-0.059
1.416,-0.058
1.418,-0.057
1.420,-0.056
1.422,-0.055
1.424,-0.055
1.426,-0.054
1.428,-0.054
1.430,-0.054
1.432,-0.054
1.434,-0.054
1.436,-0.054
1.438,-0.054
1.440,-0.055
1.442,-0.055
1.444,-0.056
1.446,-0.056
1.448,-0.056
1.450,-0.055
1.452,-0.054
1.454,-0.053
1.456,-0.051
1.458,-0.049
1.460,-0.047
1.462,-0.046
1.464,-0.047
1.466,-0.048
1.468,-0.051
1.470,-0.053
1.472,-0.054
1.474,-0.053
1.476,-0.050
1.478,-0.046
1.480,-0.041
1.482,-0.037
1.484,-0.033
1.486,-0.030
1.488,-0.027
1.490,-0.025
1.492,-0.023
1.494,-0.022
1.496,-0.020
1.498,-0.019
1.500,-0.019
1.502,-0.017
1.504,-0.014
1.506,-0.010
1.508,-0.003
1.510,0.005
1.512,0.013
1.514,0.021
1.516,0.026
1.518,0.028
1.520,0.029
1.522,0.028
1.524,0.028
1.526,0.029
1.528,0.032
1.530,0.036
1.532,0.040
1.534,0.044
1.536,0.046
1.538,0.045
1.540,0.043
1.542,0.039
1.544,0.033
1.546,0.025
1.548,0.015
1.550,0.004
1.552,-0.009
1.554,-0.021
1.556,-0.032
1.558,-0.042
1.560,-0.050
1.562,-0.056
1.564,-0.061
1.566,-0.065
1.568,-0.068
1.570,-0.069
1.572,-0.070
1.574,-0.069
1.576,-0.068
1.578,-0.068
1.580,-0.069
1.582,-0.073
1.584,-0.077
1.586,-0.081
1.588,-0.084
1.590,-0.084
1.592,-0.083
1.594,-0.079
1.596,-0.075
1.598,-0.073
1.600,-0.072
1.602,-0.074
1.604,-0.078
1.606,-0.083
1.608,-0.087
1.610,-0.089
1.612,-0.088
1.614,-0.084
1.616,-0.078
1.618,-0.072
1.620,-0.069
1.622,-0.069
1.624,-0.075
1.626,-0.084
1.628,-0.096
1.630,-0.109
1.632,-0.120
1.634,-0.127
1.636,-0.127
1.638,-0.120
1.640,-0.102
1.642,-0.073
1.644,-0.029
1.646,0.032
1.648,0.110
1.650,0.203
1.652,0.307
1.654,0.415
1.656,0.518
1.658,0.607
1.660,0.675
1.662,0.712
1.664,0.712
1.666,0.671
1.668,0.585
1.670,0.456
1.672,0.294
1.674,0.113
1.676,-0.068
1.678,-0.227
1.680,-0.351
1.682,-0.431
1.684,-0.467
1.686,-0.468
1.688,-0.446
1.690,-0.413
1.692,-0.378
1.694,-0.347
1.696,-0.323
1.698,-0.306
1.700,-0.292
1.702,-0.281
1.704,-0.269
1.706,-0.254
1.708,-0.234
1.710,-0.208
1.712,-0.177
1.714,-0.145
1.716,-0.115
1.718,-0.090
1.720,-0.073
1.722,-0.065
1.724,-0.065
1.726,-0.068
1.728,-0.072
1.730,-0.073
1.732,-0.070
1.734,-0.065
1.736,-0.057
1.738,-0.050
1.740,-0.045
1.742,-0.044
1.744,-0.044
1.746,-0.046
1.748,-0.047
1.750,-0.046
1.752,-0.043
1.754,-0.038
1.756,-0.033
1.758,-0.028
1.760,-0.024
1.762,-0.022
1.764,-0.022
1.766,-0.024
1.768,-0.026
1.770,-0.027
1.772,-0.027
1.774,-0.025
1.776,-0.022
1.778,-0.020
1.780,-0.017
1.782,-0.016
1.784,-0.015
1.786,-0.015
1.788,-0.016
1.790,-0.015
1.792,-0.014
1.794,-0.011
1.796,-0.008
1.798,-0.004
1.800,-0.000
1.802,0.002
1.804,0.004
1.806,0.005
1.808,0.006
1.810,0.006
1.812,0.007
1.814,0.009
1.816,0.010
1.818,0.012
1.820,0.014
1.822,0.016
1.824,0.018
1.826,0.020
1.828,0.023
1.830,0.027
1.832,0.031
1.834,0.035
1.836,0.038
1.838,0.041
1.840,0.043
1.842,0.044
1.844,0.045
1.846,0.046
1.848,0.048
1.850,0.051
1.852,0.054
1.854,0.058
1.856,0.064
1.858,0.070
1.860,0.078
1.862,0.085
1.864,0.092
1.866,0.098
1.868,0.103
1.870,0.108
1.872,0.111
1.874,0.115
1.876,0.120
1.878,0.125
1.880,0.131
1.882,0.138
1.884,0.146
1.886,0.154
1.888,0.163
1.890,0.171
1.892,0.179
1.894,0.187
1.896,0.195
1.898,0.204
1.900,0.212
1.902,0.220
1.904,0.227
1.906,0.234
1.908,0.239
1.910,0.244
1.912,0.248
1.914,0.252
1.916,0.256
1.918,0.260
1.920,0.264
1.922,0.268
1.924,0.271
1.926,0.274
1.928,0.276
1.930,0.277
1.932,0.277
1.934,0.274
1.936,0.268
1.938,0.261
1.940,0.252
1.942,0.241
1.944,0.230
1.946,0.218
1.948,0.205
1.950,0.193
1.952,0.179
1.954,0.165
1.956,0.149
1.958,0.133
1.960,0.116
1.962,0.100
1.964,0.085
1.966,0.072
1.968,0.060
1.970,0.049
1.972,0.039
1.974,0.030
1.976,0.021
1.978,0.012
1.980,0.004
1.982,-0.004
1.984,-0.012
1.986,-0.019
1.988,-0.025
1.990,-0.030
1.992,-0.034
1.994,-0.038
1.996,-0.041
1.998,-0.044
2.000,-0.046
2.002,-0.048
2.004,-0.050
2.006,-0.052
2.008,-0.054
2.010,-0.055
2.012,-0.056
2.014,-0.056
2.016,-0.056
2.018,-0.055
2.020,-0.055
2.022,-0.055
2.024,-0.056
2.026,-0.057
2.028,-0.058
2.030,-0.058
2.032,-0.059
2.034,-0.060
2.036,-0.061
2.038,-0.063
2.040,-0.065
2.042,-0.066
2.044,-0.067
2.046,-0.067
2.048,-0.066
2.050,-0.065
2.052,-0.064
2.054,-0.063
